"","artistName","freq"
"1082","Saint Motel",1
"1083","Sam Pinkerton",1
"1084","Santana",1
"1085","Sara Kays",1
"1086","Sarah and the Sundays",1
"1087","Sarah Cothran",1
"1088","Sarah Kinsley",1
"1089","Scott Irby-Ranniar",1
"1090","Sean Palmer as Prince Eric",1
"1091","Shallou",1
"1092","Shaun Frank",1
"1093","Shawn Austin",1
"1094","Shawn Hook",1
"1095","Sherie Rene Scott as Ursula",1
"1096","Sheryl Crow",1
"1097","Shine Bright Baby",1
"1098","Ship's Chorus",1
"1099","Sia Furler",1
"1100","Sid The Great",1
"1101","Sigimund",1
"1102","Sigrid",1
"1103","Simple Plan",1
"1104","Sista Prod",1
"1105","Sk8trBoy17",1
"1106","Skrillex",1
"1107","Sky Dixon",1
"1108","Sleeping At Last",1
"1109","SnowGlow",1
"1110","Social Club Misfits",1
"1111","Sonicflood",1
"1112","Sophia Fracassi",1
"1113","Soulfire Revolution",1
"1114","Spencer Kane",1
"1115","Spencer Sutherland",1
"1116","Stan Whitmire",1
"1117","Stela Cole",1
"1118","Stephan Moccio",1
"1119","Stephen Stanley",1
"1120","Stephen Wake",1
"1121","Steven Curtis Chapman",1
"1122","Stevie Mackey",1
"1123","Stockard Channing",1
"1124","Stromae",1
"1125","Sueco",1
"1126","Sufi Sheman",1
"1127","Tasha Cobbs Leonard",1
"1128","Tayler Buono",1
"1129","Taylor Driskell",1
"1130","Tedashii",1
"1131","The Avett Brothers",1
"1132","The Barden Bellas",1
"1133","The Chicks",1
"1134","The Classic Crime",1
"1135","The Click Five",1
"1136","The Dailys",1
"1137","The Digital Age",1
"1138","The George Twins",1
"1139","THE GRTNS",1
"1140","The Jackson 5",1
"1141","The Magic Lantern",1
"1142","The Night Game",1
"1143","The Nor'easters",1
"1144","The Ready Set",1
"1145","The Rocket Summer",1
"1146","The Script",1
"1147","Thin Lizzy",1
"1148","Third Day",1
"1149","This Will Destroy You",1
"1150","Thumpasaurus",1
"1151","Tiësto",1
"1152","Timothy Keller Sermons Podcast by Gospel in Life",1
"1153","Tom Grennan",1
"1154","Tom Petty",1
"1155","Tom Walker",1
"1156","Tommy Lefroy",1
"1157","Tones And I",1
"1158","Tony Lieberman",1
"1159","Traditional Song",1
"1160","Transviolet",1
"1161","Travie McCoy",1
"1162","Travis Denning",1
"1163","Trella",1
"1164","Tritonal",1
"1165","Trousdale",1
"1166","Tsidii Le Loka",1
"1167","Twisted Sister",1
"1168","Tyler Maynard as Flotsam",1
"1169","U2",1
"1170","Unspoken",1
"1171","Valerie Broussard",1
"1172","Valerie June",1
"1173","Vanessa Carlton",1
"1174","Walk Off the Earth",1
"1175","Ward Thomas",1
"1176","Warren Zeiders",1
"1177","Wendy Oliver",1
"1178","Wes Fowler",1
"1179","Wham!",1
"1180","Willie Jones",1
"1181","Winnetka Bowling League",1
"1182","With Confidence",1
"1183","WRENN",1
"1184","Wyn Starks",1
"1185","Xie Qi",1
"1186","Yam Haus",1
"1187","Yiruma",1
"1188","Zach Rogers",1
"1189","Zak Abel",1
"1190","ZEE MACHINE",1
"1191","Zemfira Mironova",1
